Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config,Default Format,Spatial Guid
Center,Subunit,Render,Realtek(R) Audio,,,,,No,,100.0%,-64.00 dB,0.00 dB,0.03 dB,1,0.00 dB,100.0%,{2}.\\?\hdaudio#func_01&ven_10ec&dev_0892&subsys_14629c83&rev_1003#4&3a27a3f1&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\singlelineouttopo/0002000e,Realtek(R) Audio\Subunit\Center,,,,,,,
Front,Subunit,Render,Realtek(R) Audio,,,,,No,,100.0%,-64.00 dB,0.00 dB,0.03 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{2}.\\?\hdaudio#func_01&ven_10ec&dev_0892&subsys_14629c83&rev_1003#4&3a27a3f1&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\singlelineouttopo/00020011,Realtek(R) Audio\Subunit\Front,,,,,,,
Front,Subunit,Render,Realtek(R) Audio,,,,,No,,47.8%,-64.00 dB,0.00 dB,0.03 dB,2,"-6.41 dB, -6.41 dB","47.8%, 47.8%",{2}.\\?\hdaudio#func_01&ven_10ec&dev_0892&subsys_14629c83&rev_1003#4&3a27a3f1&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\singlelineouttopo/00020000,Realtek(R) Audio\Subunit\Front,,,,,,,
Front Green In,Subunit,Render,Realtek(R) Audio,,,,,No,,0.0%,-34.50 dB,12.00 dB,0.03 dB,2,"-34.50 dB, -34.50 dB","0.0%, 0.0%",{2}.\\?\hdaudio#func_01&ven_10ec&dev_0892&subsys_14629c83&rev_1003#4&3a27a3f1&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\singlelineouttopo/0002000c,Realtek(R) Audio\Subunit\Front Green In,,,,,,,
Front Pink In,Subunit,Render,Realtek(R) Audio,,,,,Yes,,0.0%,-34.50 dB,12.00 dB,0.03 dB,2,"-34.50 dB, -34.50 dB","0.0%, 0.0%",{2}.\\?\hdaudio#func_01&ven_10ec&dev_0892&subsys_14629c83&rev_1003#4&3a27a3f1&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\singlelineouttopo/00020008,Realtek(R) Audio\Subunit\Front Pink In,,,,,,,
Google Chrome,Application,Render,Realtek(R) Audio,,,,Active,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{bdb1b891-8850-4959-b808-7359535cabdd}|\Device\HarddiskVolume5\Program Files\Google\Chrome\Application\chrome.exe%b{00000000-0000-0000-0000-000000000000}|1%b20240,Realtek(R) Audio\Application\Google Chrome,C:\Program Files\Google\Chrome\Application\chrome.exe,20240,,,,,
LEDKeeper2,Application,Render,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{bdb1b891-8850-4959-b808-7359535cabdd}|#%b{3548D6D9-6CCA-4ED8-A4F5-A2083A1FE372}|1%b#,Realtek(R) Audio\Application\LEDKeeper2,C:\Program Files (x86)\MSI\MSI Center\Mystic Light\LEDKeeper2.exe,8124,,,,,
LEDKeeper2,Application,Render,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{bdb1b891-8850-4959-b808-7359535cabdd}|\Device\HarddiskVolume5\Program Files (x86)\MSI\MSI Center\Mystic Light\LEDKeeper2.exe%b{00000000-0000-0000-0000-000000000000}|1%b8124,Realtek(R) Audio\Application\LEDKeeper2,C:\Program Files (x86)\MSI\MSI Center\Mystic Light\LEDKeeper2.exe,8124,,,,,
M24X4,Device,Render,NVIDIA High Definition Audio,,,,Active,No,0.00 dB,100.0%,-96.00 dB,0.00 dB,1.50 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{0.0.0.00000000}.{de4ae6cd-7e80-4163-b993-4e5d3212bd17},NVIDIA High Definition Audio\Device\M24X4\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{de4ae6cd-7e80-4163-b993-4e5d3212bd17},0x3 0x0 0x0,"2 Channel, 16 bit, 48000 Hz",
Rear,Subunit,Render,Realtek(R) Audio,,,,,No,,100.0%,-64.00 dB,0.00 dB,0.03 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{2}.\\?\hdaudio#func_01&ven_10ec&dev_0892&subsys_14629c83&rev_1003#4&3a27a3f1&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\singlelineouttopo/00020010,Realtek(R) Audio\Subunit\Rear,,,,,,,
